username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Tim was just a guest from June to January,31490994,"Glendale, CA",2023-01-25 07:31:58,"Like I keep seeing normal-ass college stuff coming from people in other departments, and I have no idea where any o… https://t.co/mGiPUDlr8y",0,Twitter for iPhone,
DIAZ®,1113548162,"Torrance, Ca ",2023-01-25 07:27:26,"@dwags5 @jbird57672579 @joelklatt @NCAA Have you watched any college sports recently ?!
Every star QB in college is… https://t.co/n1fHIQvv3c",0,Twitter for iPhone,
Christina Farber,982719725695328257,"Los Angeles, CA",2023-01-25 07:19:15,@JuEmGeVi @erikaishii I climbed for the first time at my college rec center and then started climbing cuz I had a m… https://t.co/3HcLdpPUiA,0,Twitter for iPhone,
McGill,127041589,"Los Angeles, CA",2023-01-25 07:14:43,@wrestlingnomad Never happen in college. We can watch ‘em wresting in Final X.,0,Twitter for iPhone,
Paul Robertson,1607790925933314049,"South Gate, CA",2023-01-25 07:10:58,"@WideOutWhisperr Jabari Hughes 
Height: 5”9
Weight: 190
Position: WR / KR / PR
Film: https://t.co/A6hzEoabql
School… https://t.co/oDLDR6AcHd",0,Twitter for iPhone,
Ingrid Ford,1590351850150060032,Los Angeles,2023-01-25 06:57:34,"Arkansas Razorbacks Jalen Graham Black College Basketball 2022 Transfer Men Jersey
https://t.co/XyxD6aT8wP",0,Twitter Web App,
Pi'ilaniwahine (she/her/hers),128365685,Los Angeles,2023-01-25 06:56:01,Third mass shooting https://t.co/FYvymATDiv,0,Twitter for iPhone,
bex0760 🇵🇷,846445608361603072,"Los Angeles, CA",2023-01-25 06:55:46,"@FierceWomb @RubenGallego Exactly.
Talk about how we can help our kids get into college.
Immigration reform.
Traini… https://t.co/UviqXRFEcn",0,Twitter Web App,
threat level midnight,359676547,"Los Angeles, CA",2023-01-25 06:54:16,"I’ve been doing research on the price of tuition in France and ugh, like I could actually see myself being excited… https://t.co/8i40xZmooq",0,Twitter for iPhone,
Howard Ho,431238661,"Los Angeles, CA",2023-01-25 06:51:24,The long story isn't THAT long. She joined a production of a bunch of acting students at @EWPlayers who were ALL ol… https://t.co/tCq9awCNnA,0,Twitter Web App,
Fake Celebrity Spotter,1445075480768483334,"Los Angeles, CA",2023-01-25 06:49:39,Lisa Washington has been SPOTTED punishing her Uber driver at East Los Angeles College in Monterey Park!,0,"Cheap Bots, Done Quick!",
Bandz,3327670884,"Los Angeles, CA",2023-01-25 06:45:23,So happy to see my students getting accepted into college. Their reactions are everything 🤗🤗 #ThankGod,0,Twitter for iPhone,
