username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Sir Afro-Trin,1458500190764158978,"Bronx, NY",2023-01-25 07:16:06,@cribbs1369 @ninaturner @RonDeSantisFL Educated enough to be a college professor. What the hell do you do?,0,Twitter for Android,
FadedK3G,1403972403038982147,"Manhattan, NY",2023-01-25 07:12:18,"It’s difficult to find the reason to keep trying in a lot of things. Outside of gaming, it’s become demoralizing to… https://t.co/kzspht8xbH",0,Twitter for iPhone,
Elvis Bob Rasputin,17184997,"Brooklyn, NY",2023-01-25 07:08:24,@TheDesignerGeek Everything All At Once... is a perfect film. Oscars don't matter as it will be film canon in colle… https://t.co/54ZNF6ICh7,0,Twitter for Android,
The New Republic,82689705,"New York, NY",2023-01-25 07:03:09,"“[S]tatistically, I was never supposed to end up even in college,” Arizona Senate 2024 candidate Ruben Gallego says… https://t.co/PsVgwRQ4D5",2,Echobox,
Tracy Ringolsby,126380866,"Cheyenne, Wy",2023-01-25 07:03:07,"Bangoura Opts To Stay Home For College, Lineman Makes Commitment to Wyoming  https://t.co/ECFKUH4pHt",0,Squarespace,"{'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}"
Alexander Mint,1473345595003838470,"New York, NY",2023-01-25 07:02:37,"@revmak @earthtokb To your point, there’s a strong history of Artists &amp; Poets sharing great affinity. See Black Mou… https://t.co/q035sorRiY",0,Twitter for Mac,
🌬🍜,874891038,"New York, USA",2023-01-25 07:02:25,@grizette_ Youre too young to get it then sweetie 😂 we were college 🥂,0,Twitter for Android,
VIRGOAT 🐐💎,1128519139692294145,"New York, USA",2023-01-25 06:55:23,Grand Central having LIRR access now is so crazy to me.  Why didn’t they have that when I needed it? I used to have… https://t.co/ypTIR9FZxs,0,Twitter for iPhone,
Vee 🖤⛓🎶🪩,403776370,New York City ,2023-01-25 06:44:42,I already can’t take loans out or get any financial aid because I’m DACA so that just sucks more that I can only at… https://t.co/Oukj8VKK0s,0,Twitter for iPhone,
♋️ 6HATTI,1439825710089129987,"New York, NY",2023-01-25 06:44:20,I remember seeing his name on the Jumbotron at the rose bowl seeing his name in the college madden lol and just thinking he was a star,0,Twitter Web App,
Vee 🖤⛓🎶🪩,403776370,New York City ,2023-01-25 06:39:43,I’m literally so depressed rn ….College sucks and I’m never finishing bc this ONE class sets me back a whole semester 💔,0,Twitter for iPhone,
Jennifer Meltzer,1392652737117097987,"New York, USA",2023-01-25 06:27:47,@jacobkornbluh @NYCMayor He believes these types of gatherings with high school and college kids can help stem the tide,0,Twitter for Android,
NYCT Subway,66379182,New York City,2023-01-25 06:23:29,"Northbound 1 trains are running with delays after EMS assisted an injured employee near 137 St-City College.

North… https://t.co/AqRBEcrsm1",0,MTA Subway Service Alerts,
Brian Zumhagen,21373823,Jackson Heights,2023-01-25 06:21:42,"Pat (at right) rehearsing with her folk group The Expresso Six, likely 1964, at Rivier College in New Hampshire, un… https://t.co/KJlx6Lw0BE",0,Twitter for iPhone,
Jesse Spector,16037600,"Astoria, NY",2023-01-25 06:21:19,"David Shaw's NFL resume peaked with stints as the quarterbacks coach for Rich Gannon the year before he was MVP, an… https://t.co/MxYVkCJ6d5",0,Twitter Web App,
jon kujo,978855458990673920,"Brooklyn, NY",2023-01-25 06:07:54,"start college again tomorrow, very nervous",0,Twitter for iPhone,
"Unironic Lesbian Dance Theorist, Doer of Jew Magic",1185381306257068032,"Manhattan, NY",2023-01-25 06:00:25,"@Sharon_Kuruvila Also approximately half that sounds based as fuck, 20% sounds like the kind of thing a freshman on… https://t.co/eGouBl0pFX",0,Twitter Web App,
NYCT Subway,66379182,New York City,2023-01-25 05:57:17,"Northbound 1 trains are bypassing 145 St.

EMS is responding to an injured employee near 137 St-City College. 

For… https://t.co/Cygq99T6Br",1,MTA Subway Service Alerts,
Katherine Giscombe,110216522,NYC,2023-01-25 05:56:52,“If the new Advanced Placement Course on African American Studies violates Florida laws....it only proves the uncon… https://t.co/3tdFLtJJoV,0,Twitter Web App,
Damien Sneed,24194392,New York City,2023-01-25 05:54:58,Just posted a photo @ Hamilton College https://t.co/ggmKcSIVgp,0,Instagram,
511 New York,50706690,New York State,2023-01-25 05:52:27,Updated: Construction on #I495 WB from Exit 24 -  Kissena Boulevard / 164th Street to Exit 22B - Van Wyck Expwy I-6… https://t.co/ObVLbeKzV5,0,511NY-Tweets,"{'type': 'Point', 'coordinates': [-73.814796, 40.73896]}"
goodservice.io,1035181128909508613,"Brooklyn, NY",2023-01-25 05:51:03,"Flatbush Av–Brooklyn College-bound 2 trains are skipping Christopher St–Sheridan Sq, Houston St, Canal St, and Franklin St.",0,goodservice.io,
goodservice.io - 2 Train,1384195352127963141,"New York, NY",2023-01-25 05:51:03,"Flatbush Av–Brooklyn College-bound 2 trains are skipping Christopher St–Sheridan Sq, Houston St, Canal St, and Franklin St.",0,goodservice.io,
Jonaed 🥑 | The NoDegree Podcast | NoDegree.com |,2795277902,"New York, USA",2023-01-25 05:48:27,"1) Your background doesn't matter.

If you want to learn Web3 at 47 years old, you will be embraced. Knowledge and… https://t.co/ZJhRy53pi3",0,Twitter Web App,
💫 All Basketball 365 🏀,1582791255104299008,"New York, USA",2023-01-25 05:42:42,".@OregonWBB landed a commitment from Lane Community College guard @bell_hamel.
https://t.co/o80y29CWvK",0,Twitter for Android,
Nose {𝕭𝕽𝕲},1399527150311645190,"Brooklyn, NY",2023-01-25 05:42:24,Many defense interns out of college need to receive top secret clearance btw. this entire discourse about every pol… https://t.co/HtWvez5vxZ,0,Twitter for iPhone,
Harvey Specter,241745140,"New York, NY",2023-01-25 05:40:36,College basketball &amp; Tennis https://t.co/Bj6Lwf41Zy,0,Twitter for iPhone,
bob bopper,619176465,New York,2023-01-25 05:40:26,"@ke_kimmie I hope they get their just deserts, whatever they were dishing out. We saw these spoiled college kids st… https://t.co/wucPxfetYs",0,Twitter Web App,
Robert I. Kabakoff,18473573,NYC,2023-01-25 05:39:52,@StopAntisemites When will I see the first pro-Israel counterdemonstration on any American college campus? Why do w… https://t.co/K2Vv1TXhRn,0,Twitter Web App,
twinkle,1307769082888978444,"New York, USA",2023-01-25 05:39:47,The girls at Bates College are for sure having fun #PleaseDontStopTheMusic,0,Twitter for iPhone,
Long Stride Tommy,1252814305759686662,"New York, USA",2023-01-25 05:35:41,@zaysinterIude @FluffyBuffalos @BrettKollmann @BCUAthletics Private college that Reed himself called out for corrup… https://t.co/KbGKLasss9,0,Twitter for iPhone,
Bill Buckley,1223809058177634305,New York,2023-01-25 05:33:57,@TheThomasSowell Educated College students fell for Biden’s bate on canceling student debt.   Votes votes votes.… https://t.co/6td9Yw4REe,0,Twitter for iPad,
Eyewitness Sports,186067374,Central New York,2023-01-25 05:33:31,Nationally ranked @UticaWIH and @HamCollWHock play to 2-2 draw https://t.co/IjnKhNDMoc,1,Twitter Web App,
ProReborn,983285005,"New York, USA",2023-01-25 05:31:04,raccoon city college https://t.co/d44GG9SNmu,0,Twitter for iPhone,
KotysMom🤎,333625152,"Newark, NJ",2023-01-25 05:30:11,"I’m a mom and a college student 24/7, Ian got time for shit else fr.",0,Twitter for iPhone,
cybergalacticnova | comms open,1222672643482103809,"New York City, NY",2023-01-25 05:30:04,"@segraffiti To be fair, he's petty af. Not only he used to intern at Yamaha, made SynthV to impress a girl but got… https://t.co/4WweoqJxZM",0,Twitter Web App,
feminist next door,30395567,"New York, NY",2023-01-25 05:28:26,"@angel_0f_deathx Some of us are here to work out, not find a rich wife. That’s what college is for.",0,Twitter for iPhone,
Magenta,1562334020477730817,"Jersey City, NJ",2023-01-25 05:23:25,@ManchinEnjoyer st flopsem college,0,Twitter for Android,
Anthony_I10,3421353435,"New York, USA",2023-01-25 05:19:25,@habibtings These college kids don’t respect our coin but we make it work 🤣,0,Twitter for iPhone,
Amichie,2857127845,"New York, USA",2023-01-25 05:17:47,I forgot I start college this weekend 😌,0,Twitter for Android,
HOSEOK’s military wife(REAL),4088059685,Jamaica,2023-01-25 05:16:24,Ain’t shit funny in college bro.,0,Twitter for iPhone,
Whitney Cleveland,994098460843499521,"Manhattan, NY",2023-01-25 05:15:23,Ooops had enough glasses of wine to dm a woman I had one class with in college about why I thought Top Gun: Maverick was bad,0,Twitter for iPhone,
alyssia 🇦🇷,1591932026806063105,nyc,2023-01-25 05:12:17,currently in a room with all my senior friends reminiscing about our college years i feel so old.,0,Twitter for iPhone,
RABYAAH ALTHAIBANI رابعة الذيباني 🗳️,3149251925,"New York, USA",2023-01-25 05:06:31,"“Recently, scientists at Trinity College Dublin using a technique to test for quantum gravity suggested that entang… https://t.co/F3pyi3F57F",0,Twitter for iPhone,
yo its mac,884949008824795136,"New York, USA",2023-01-25 05:04:16,women’s college hoops deserve the recognition https://t.co/CX0SXjq1cP,0,Twitter for iPhone,
