username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Veronica Peshterianu ❄️,15857157,Seattle,2023-01-25 06:23:18,"Bear in mind this was 15 years ago:

My first games job was an internship. I went to an EA college recruiting event… https://t.co/Uyp5ccWGDe",0,Twitter for iPhone,
MSN,15856435,"Redmond, WA, USA",2023-01-25 06:21:21,"Wyoming Wrong-Way Crash Kills 5, Including 2 High School Students, After College Visit https://t.co/pmmjArzX6y",1,OxfordBlue-Twitter,
Seattle Dad ,822807935394775040,"Seattle, WA",2023-01-25 06:07:56,"@mmpadellan Queer studies and Kimberlé Crenshaw’s Critical Race Theory does not a history book make. 

Note 4.15 an… https://t.co/ikH05tXctw",0,Twitter for iPad,
SeattlePD Nora3,743524081,"Seattle, WA",2023-01-25 06:04:00,"Beat: N3, NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS) at 100XX BLOCK OF COLLEGE WY N reported on 1/24/2023 9:42 PM, Call# 23000023330",0,SPD Beat N3,
Burley Rupert,259805182,"Seattle, WA",2023-01-25 06:01:31,"@destinationfear @DakotaLaden  you’ve gotta look into Kenyon College in Gambier, OH.  Hazings, fires, suspicious de… https://t.co/Fym5gP1oTj",1,Twitter for iPhone,
Ann Nordland 🌻🇺🇦⚖️🇺🇸,31325937,"East of Seattle, WA",2023-01-25 05:59:09,@TalbertSwan This also reminds me of the white boys in Indiana who somehow managed to change school districts so th… https://t.co/97MYFwSzz0,0,TweetDeck,
Kristi Coulter,74560879,Seattle,2023-01-25 05:53:34,@biblioracle I’m a New College alum. Not a single one of the DeSantis trustees could make it through a single academic quarter there.,0,Twitter for iPhone,
Chicagoland Fella,2788427605,"Seattle, WA",2023-01-25 05:41:16,"@BreitbartNews FYI - the Big Four Accounting/Consulting Firms also have huge off-shore operations in India, which h… https://t.co/sGl2OXLoZ9",0,Twitter Web App,
Jason Kline,24977727,"Seattle, WA",2023-01-25 05:17:07,@d2derrick @tiz71 I actually agree and I wrote many papers about this exact subject back in college BUT Manny and A… https://t.co/p8LgAofDjW,0,Twitter for iPhone,
Catherine,2311226665,"Seattle, WA",2023-01-25 05:14:56,"College Board acting with their usual level of integrity, I see.🤑 https://t.co/d8tzue7BIS",0,Twitter Web App,
WestCoastWarrior,1304993232770666496,"Seattle, WA",2023-01-25 04:48:41,@bonchieredstate College Board. Disney. Cruise industry....those are some pretty good feathers in your hat.,0,Twitter for Android,
Cole🇮🇹,990428568940232705,"Seattle, WA",2023-01-25 04:45:13,"Man, I hate college.",0,Twitter for iPhone,
Frenemy of the State,58757295,Seattle ,2023-01-25 04:37:50,@Gabby_Brauner27 Doctors still make too much money. Paying college tuition that is astronomically inflated doesn't change that.,0,Twitter for Android,
emma windita,108559595,"Seattle, WA",2023-01-25 04:23:51,My mind just got fucking blown when I realized I could write a The Last of Us FIB UI College AU and it’ll basically be canonverse 🤯,0,Twitter for iPhone,
Taylor Barton,357281541,"Seattle, WA",2023-01-25 03:55:45,Just finished recording our Space Needle Shootout pre-tourney podcast w/@BrandonHuffman. Talked about lots of great… https://t.co/olMMBf70iP,4,Twitter for iPhone,
Teacher Warrior,1611900928336224256,Seattle,2023-01-25 03:37:36,"@160Farms Get your point, but disagree. Some of those three-year teachers might have had years and years of behavio… https://t.co/XrucyuWHd0",0,Twitter for Android,
Sue Skinner 🌟⭐️💙💚⚽,1549332534,West Seattle,2023-01-25 03:32:14,@brandonbleek @ussoccer @hbomax @MLS @AppleTV @PLinUSA @peacock @ChampionsLeague @paramountplus @SiriusXMFC You can… https://t.co/UWelbez3bW,0,Twitter for iPhone,
naomi,1129112365,Seattle,2023-01-25 03:24:11,I cannot wait to graduate from college I’m burnt tf out,0,Twitter for iPhone,
Joe Zebrowski,1524566163040063490,"Seattle, WA",2023-01-25 03:16:31,@jonfitchdotnet They can spell “college” tho,0,Twitter for iPhone,
Veronica Suchodolski,3744876700,"Seattle, WA",2023-01-25 02:51:45,every now and then I remember the story I wrote in college with a throwaway line about looking at pubes on the comm… https://t.co/TWbdZRkTNn,0,Twitter for iPhone,
Jason Kline,24977727,"Seattle, WA",2023-01-25 02:47:57,@mrcydixon I worked for Blockbuster for 2 summers during college. The 10 free rentals &amp; first dibs on new releases… https://t.co/xXY4RmQt4Y,0,Twitter for iPhone,
Amy,35360712,Suburban Seattle,2023-01-25 02:42:52,I found a bunch of college photos while transferring my photo library from Costco to Snapfish and am currently text… https://t.co/T6EQUQQTAq,0,Twitter for iPhone,
Jeremiah Oshan,55305443,Seattle,2023-01-25 02:35:56,@brandonbleek @ussoccer @hbomax @MLS @AppleTV @PLinUSA @peacock @ChampionsLeague @paramountplus @SiriusXMFC Those a… https://t.co/ePBe4rbeiU,0,Twitter for iPhone,
Brian Vander Stoep,128029105,"Seattle, WA",2023-01-25 02:27:56,@dubduphuskies How many QBs have played in the nfl at over 6’6”? Or even BCS level college? Seriously curious. If h… https://t.co/44HjGftC1B,0,Twitter for iPad,
Mitchell,2640373831,"Seattle, WA",2023-01-25 02:14:25,college west campus Mitchell 2015-2019 https://t.co/e9zYnG6Ym4,0,Twitter for iPhone,
MSN,15856435,"Redmond, WA, USA",2023-01-25 02:13:17,"AP African American Studies course rejected by Florida to undergo revision, College Board says https://t.co/SWLBHsChIf",0,OxfordBlue-Twitter,
Schuy is powered by Vossloh Kiepe,4903470843,"Seattle, WA",2023-01-25 01:46:55,@Staroxvia @vanillaopinions flagstaff is indeed also a college town,0,Twitter for iPhone,
Seattle Dad ,822807935394775040,"Seattle, WA",2023-01-25 01:37:39,"Jan. 23 (UPI) -- Howard University will become the first Historically Black College or University, or HBCU, to lead… https://t.co/b1JveWUwRt",0,Twitter for iPad,
TotalDisco,3041590600,Somewhere beyond the sea,2023-01-25 01:11:16,"@OnlyRealSteveO @UltraDane She got drunk, blood alcohol 3+. They approached her and she left with them. She had sex… https://t.co/XpGjTAYK7T",0,Twitter for iPhone,
Peter D,1445431041498382338,"Seattle, WA",2023-01-25 01:10:09,"@eneldiluvio @OlginoTroll @alexmeshkin There are cases of vaccine-associated myocarditis but the risk varies, with… https://t.co/qvpjgES8N3",0,Twitter for iPhone,
UW College of Education,16816669,"Seattle, WA",2023-01-25 01:00:01,"If you are unable to make it to Dr. Brian Wright's presentation and panel discussion tonight, there will be a lives… https://t.co/BaCsPHhzaq",0,Buffer,
AFT Washington,92085210,"Tukwila, WA",2023-01-25 00:34:13,"This article, about the challenges faced by Washington's higher ed students, is an important read. We can change th… https://t.co/CtT90kbk9c",0,Twitter Web App,
Women's Pro Hockey Seattle,1043939628791676929,"Seattle, WA",2023-01-25 00:27:00,"Women’s College Hockey Polls 
— January 23/24, 2023 from USCHO and USA Hockey 

NCAA D1 : https://t.co/QAF8Do8PaO… https://t.co/PqhgtNth6t",0,Twitter for iPhone,
Catching Up On Cinema,1068331658854588416,"Seattle, WA",2023-01-25 00:25:18,"@ninelie_1982 Glad to hear they treated my boy Max with the respect he deserves.
Max was my first Ultra series afte… https://t.co/LgEIQfbtbH",0,Twitter for iPhone,
Michaela Pratt,3002295002,"Seattle, WA",2023-01-25 00:24:50,Fresh outha college in Guyana just wilding 😭 https://t.co/6JSMTzYdG3,0,Twitter for iPhone,
anniepoo,1343862234213044224,"Seattle, WA",2023-01-25 00:21:24,"long-distance friends, if i visit your city pls take me on a tour of your life.

show me where you do groceries, th… https://t.co/yKWQfqm9ch",3,Twitter Web App,
† Crusader,373033271,"Puget Sound, WA",2023-01-25 00:21:08,College Board Agrees to Revise AP Course Rejected by Florida https://t.co/e7ZdienkNA,0,Twitter Web App,
Baseball Promotions,900229667369750531,"Seattle, WA",2023-01-25 00:16:06,College Diamondbacks Wristband Day,0,"Cheap Bots, Done Quick!",
Jim Basnight,43725728,"Seattle, WA",2023-01-25 00:01:54,"@206Hoops Good player. Probably getting better player development. A lot more attention, etc. Bozeman is super cool for a college town too.",0,Twitter Web App,
Mike Lewis,197592922,Seattle,2023-01-24 23:52:47,That little computer changed everything. My college roommate at @SJSU got one of the first ones on campus. Wow. https://t.co/vXbfQs82le,0,Twitter Web App,
Edmonds College Tritons,764138004,"Lynnwood, WA",2023-01-24 23:45:59,"We’re getting closer to the end of January. Make sure you get your discount on Triton gear!

 🔗… https://t.co/4EtSW788I5",1,Twitter for iPhone,
JEFFREY SCHAEFER,1455214217053622275,"Seattle, WA",2023-01-24 23:35:00,@RepAndyBiggsAZ I say that we do away with the Congressional pensions of all of those that voted to not recognize t… https://t.co/EK7XyhmAWC,0,Twitter Web App,
Crash Test Gummies,455045850,Seattle,2023-01-24 23:33:31,@PunishedLobster you gotta watch out if you find a college student who’s hanging a poster of the cover of Rumors in… https://t.co/7fFNL0V6DF,0,Twitter for iPhone,
Shawn Hereth,1590608720027082753,"Seattle, WA",2023-01-24 23:26:57,@SkepticalMutant @goz421 @lazlowoodbine42 @JonathanHannah @LummHandy @Pouldeau61 @scottstocker4 @Scary7Dr… https://t.co/xhl6YhLdFW,0,Twitter Web App,
🄱🄾🄶🄶🄸🄽🅂,2384556967,"Seattle, WA",2023-01-24 23:18:19,"@JediJoshua58 @SayreBedinger He wasn’t in college, tho. They also utilized him successfully in camp at not just a r… https://t.co/JYwCE04OBY",0,Twitter for iPhone,
Sneeks,4786549832,"Seattle, WA",2023-01-24 23:12:06,How I regret not knowing about Houdini back in college. So fun and versatile. Nodes FTW,0,Twitter for iPhone,
Miss Lily Green 💫 Seattle,1313576900606844928,"Seattle, WA",2023-01-24 23:05:09,@MarinDevana Also my college roommate uses Marco Polo and got me back into it just with her - it lets us send video… https://t.co/rcFeFQPMQd,0,Twitter for iPhone,
Susie Rantz,15932984,Seattle,2023-01-24 23:00:27,"@TheCraigPowers Ah, nice! Went to The Used and Taking Back Sunday at the Showbox in college. The Blood Brothers ope… https://t.co/3G9TpbGOpF",0,TweetDeck,
StudyUSAcom,33003926,"Seattle, WA",2023-01-24 23:00:05,"Passionate about STEM? So is study abroad student Florida Cishesa from the Democratic Republic of Congo. 

“At Bell… https://t.co/b9JZsBMdKM",0,Buffer,
Ethan Davenport🌽🌽🌽🌽,750173103976689664,"Seattle,WA",2023-01-24 22:59:10,"@ninaturner Many trade schools are operated out of Community colleges, so for those who only want free trade school… https://t.co/sox5jRPUKi",0,Twitter for Android,
𝔸 𝔐𝔦𝔠𝔥𝔢𝔩 𝕍𝖆𝖓𝕕𝔢𝔯𝔥𝔢𝔦𝕕𝔢𝔫🇲🇽🇺🇸,471732838,"Seattle, WA",2023-01-24 22:58:34,@AlexRollinsNFL @SeahawkNerd There’s one guy who can be that X factor. I’ve watched so many games of him and he cou… https://t.co/R0pww8vvPR,0,Twitter for iPhone,
Tomorrow’s Been Canceled,1005272259542433792,"Seattle, WA",2023-01-24 22:25:21,"Notes from the College of Arts and Sciences Workday Adaptive Noontime Workshop, or Calypso and Ulysses - Ink on Spi… https://t.co/5XDqzgtfYv",0,Twitter Web App,
Dan Raley,304967071,Seattle,2023-01-24 22:24:57,"The Huskies offered six Texans over the weekend, and one was corner Aaron Flowers. 
https://t.co/S8YBol8W4A",0,Twitter Web App,
Dan Raley,915438553428922368,Seattle,2023-01-24 22:24:38,"The Huskies offered six Texans over the weekend, and one was corner Aaron Flowers. 
https://t.co/XRgp7t0wrG",0,Twitter Web App,
FieldLevelMedia,844270018812493824,"Seattle, WA",2023-01-24 22:18:23,Lowly Louisville seeks breakthrough at Boston College  #LouisvilleMBB  #BostonCollege  https://t.co/nrgZhyHC8N,0,XML Feed Auto Tweet (Python),
TotalDisco,3041590600,Somewhere beyond the sea,2023-01-24 22:06:15,"@iamyesyouareno So a 19 y/o woman got near black out drunk, was approached by 4 men, had sex(raped) with a 17 y/o,… https://t.co/zbNa3E5pZJ",0,Twitter for iPhone,
PJ Pepple,807466871402311680,"Seattle, WA",2023-01-24 21:58:13,31 in high school &amp; like 24 in college lol https://t.co/Ef4IVMBsz8,0,Twitter for iPhone,
azizan,766635152189644800,"Seattle, Washington",2023-01-24 21:54:06,i’m in a new college class and everyone here has a macbook lmaoo,0,Twitter for iPhone,
UW Upward Bound,622085168,"Seattle, WA",2023-01-24 21:42:54,Read about UW UB and other OMAD College Access Programs highlighted in the UW Today Newsletter article! https://t.co/QOTNg0w8qD,0,Hootsuite Inc.,
College Basketball Classics,1270178913784721408,"Seattle, WA",2023-01-24 21:42:06,#25 St. John’s vs Boston College (1998) https://t.co/NvB0fvjbZK,1,Twitter for iPhone,
austin 🍵,380147402,"Seattle, WA",2023-01-24 21:37:28,@Dubsln4 True I mean I just feel like his talent should show in college and if he looks good he won’t get people saying LeNepotism as much,0,Twitter for iPhone,
austin 🍵,380147402,"Seattle, WA",2023-01-24 21:35:01,@Dubsln4 College not nba. Which I mean if he’s projected to be a lottery pick he should be putting up numbers since… https://t.co/L5Ch0ngz5Y,0,Twitter for iPhone,
UW Graduate Student Equity & Excellence,20806205,Seattle,2023-01-24 21:33:06,"Join us for our first Power Hour of the Winter Quarter! 

Guest speakers will include Dr. Ann Ishimaru (Associate P… https://t.co/zpKriQAAWK",0,Twitter for iPhone,
Russell Brown,2590972657,"Seattle, WA",2023-01-24 21:18:10,@STAAtalent Calling NDSU baseball vs Minnesota at US Bank Stadium back in the college days. https://t.co/GXBpneV6fb,0,Twitter for iPhone,
Uche,1243367558859739136,"Seattle, WA",2023-01-24 21:16:09,"Looking at Microsoft’s Q2 earnings today, last time I was this nervous was in college when I had exam results. Tough times",0,Twitter for iPhone,
Odd,1089691406,Seattle,2023-01-24 21:05:01,@caymanwent I've thought a little about trying to get into HR; there are some brief courses you can take (I think)… https://t.co/AbXhE9CIyC,0,Twitter for Android,
JD Klein,18181598,"Redmond, WA",2023-01-24 21:02:03,"@pslohmann Me with 3 college age kids

You're spot on actually. I'll add that, oddly, the level of danger with coll… https://t.co/51OioOcbRK",0,Twitter for Android,
Dan Raley,304967071,Seattle,2023-01-24 20:48:12,"Roman Tomashoff's latest new Dawg profile, sizing up JC corner Thaddeus Dixon.
https://t.co/h6zq0nialp",0,Twitter Web App,
Dan Raley,915438553428922368,Seattle,2023-01-24 20:47:56,"Roman Tomashoff's latest new Dawg profile, sizing up JC corner Thaddeus Dixon.
https://t.co/m7CTUX1AW2",0,Twitter Web App,
Julia Duncheon,373693178,"Seattle, WA",2023-01-24 20:41:04,@jenn_rubin @mmlarthur @ayeemach Possible participants who want monetary compensation can choose not to participate… https://t.co/m9xEDXyNeE,0,Twitter for iPhone,
The Interview Guys,1253352756,Seattle,2023-01-24 20:39:10,Many 14-year-olds like the idea of earning some cash. Getting a head start on saving for a car or setting some mone… https://t.co/FriPamY8FL,1,Twitter Web App,
Edmonds College Tritons,764138004,"Lynnwood, WA",2023-01-24 20:32:20,Welcome Isabelle Thorensen to Edmonds College cross country! Thorensen is from Lake Stevens High School.… https://t.co/x2RrdeIeUd,0,Twitter for iPhone,
Shawn Hereth,1590608720027082753,"Seattle, WA",2023-01-24 20:31:35,@SkepticalMutant @Scary7Dr @SariellaForever @TheRoyalRant @scottstocker4 @ogilville1 @LummHandy @MaureenStroud… https://t.co/3njuAunuTp,0,Twitter for Android,
Jeff Tucker,39168872,"Seattle, WA",2023-01-24 20:24:36,@hyperplanes @ryan_hassett Yeah. I've lived in homes with 1 bathroom per 2 or 3 residents ever since college so I'm… https://t.co/STtOj09qV7,0,Twitter for Android,
SeattlePD Nora3,743524081,"Seattle, WA",2023-01-24 20:24:01,"Beat: N3, PROPERTY - FOUND at 100XX BLOCK OF COLLEGE WY N reported on 1/24/2023 11:58 AM, Call# 23000022802",0,SPD Beat N3,
Lonna Marie,1284693824887906304,"Seattle, WA",2023-01-24 20:20:33,Yall need to read my college thesis….and how Lyme Disease mimic the white blood sells by appearance to trick and ev… https://t.co/Upiljgfysc,0,Twitter for iPad,
David,1468107696414998528,"Redmond, WA",2023-01-24 20:18:19,"@forestminish I am...torn on this. In many ways, it was bleak- content droughts, delays, cold reception to the Wii… https://t.co/hfOLKzvQVu",0,Twitter Web App,
Victoria,885329428925960192,"Seattle, WA",2023-01-24 20:08:28,@criterionho by the same correct logic people should get paid to go to college,0,Twitter for iPhone,
Roman Tomashoff,942348193,"Redmond, WA",2023-01-24 20:07:40,Everything you need to know about Washington's new cornerback Thaddeus Dixon! https://t.co/74Tc4A0AlE,3,Twitter Web App,
James Donaldson,18369566,Seattle,2023-01-24 19:53:42,The No. 10 Texas Longhorns will be looking to build their road win at West Virginia when they face the Oklahoma Sta… https://t.co/DDsvU2wgDM,0,Blog2Social APP,
UW Simpson Center,25578377,"Seattle, WA",2023-01-24 19:50:34,"Please join us @ 5:30p Feb 8 in CMU 120 for a lecture with Julius Fleming, Jr. (University of Maryland, College Par… https://t.co/UCQRrULhS0",0,LaterMedia,
95.7 The Jet,2658067537,Seattle,2023-01-24 19:46:59,24/7 Wall St. found every state's most pricey college. https://t.co/NfeZQaVpkt,0,iHeartMedia Publishing,
champion frogman,1053481538430500864,seattle,2023-01-24 19:42:40,"we just got sent the WORST new hire... he's like 76 years old, transphobic, doesn't understand basic food safety of… https://t.co/LEX4WlLs3J",3,Twitter for Android,
UW Government & Community Relations,1003011265,"Seattle, WA",2023-01-24 19:41:35,"Did you know that more than 4,600 students are earning college credit through @UW this year because of College in t… https://t.co/CWovMp7Zaa",1,Twitter Web App,
StevenB,1427439260756414465,Seattle,2023-01-24 19:33:10,"@joncoopertweets Check out my bio.
Let's add Jimi (I knew his cousin in college), and Janis.

There are too many ro… https://t.co/gqJk5gn4jX",0,Twitter Web App,
Bryant_san,55971711,"Lynnwood, WA",2023-01-24 19:21:48,@Barstoolhuskies @KMacitnasty Fultz was so good in college.. yeah definitely Fultz imo,0,Twitter for iPhone,
⭐️jesssssss⭐️,786579123921620992,"Seattle, WA",2023-01-24 19:18:59,@Amphi28 That reminds me of the one time I tried to rent a textbook from them in college and they sent me a book th… https://t.co/BFu7yeik1s,0,Twitter for iPhone,
Big Cat 🐈,949677600061972480,"Seattle, WA",2023-01-24 19:17:49,@VNTG97 I was just saying this man I wish I went to college in the 90s 🤣,0,Twitter for iPhone,
Jared Daniels,95478108,"Seattle, wa",2023-01-24 19:10:48,@michael_schlact Launch angle is a terrible thing to teach anyone not getting paid to play the sport. Aka the youth… https://t.co/HxsfJcguFz,0,Twitter for Android,
Athlete Intelligence,979177106,"Kirkland, WA",2023-01-24 19:07:00,"Can't keep up with the NCAA College Football transfer portal?

No worries, we got you covered with the top winners… https://t.co/4l3mXukaLR",0,HubSpot,
Dan Raley,304967071,Seattle,2023-01-24 19:06:45,"The Huskies have one Letuligasenoa and have offered another. Here's their story.
https://t.co/8CbN5twV0d",0,Twitter Web App,
Dan Raley,915438553428922368,Seattle,2023-01-24 19:06:34,"The Huskies have one Letuligasenoa and have offered another. Here's their story.
https://t.co/Q1rYFU8DKT",0,Twitter Web App,
Ben Nadeau,19135897,"Seattle, WA",2023-01-24 18:41:50,"Major FRAEC Energy

(Freshman Roommates At Emerson College) https://t.co/G3WRZsKkrY",0,Twitter Web App,
Martha🇬🇭,1114973472004771840,"Lynnwood, WA",2023-01-24 18:39:13,My parents fr. When I got accepted in all my college they didn’t care all they asked was how much scholarships did… https://t.co/3Azb9RgVhU,0,Twitter for iPhone,
Hallowell Todaro ADHD,990977279617482752,"Seattle, WA",2023-01-24 18:33:02,"Just one week left to sign up for our online #ADHD group, Winning at College. We'll meet Tues afternoons and cover… https://t.co/hXN6SbgbPv",0,Buffer,
robert bazemore,2114901,"Seattle, WA",2023-01-24 18:28:27,@EricMMatheny You forgot the breaking into Congress and trying to interrupt the electoral college vote. Didn't he a… https://t.co/or5a4x7acq,0,Twitter for Android,
DannyBoy,1639427293,"Seattle, WA",2023-01-24 18:24:01,"@michaelwong77 It is college hoops man.  Injuries, regression, chemistry could de-rail amount of returnees.  You sh… https://t.co/asTvF0G3dv",0,Twitter Web App,
Olivia Bryant,1270125035655593984,"Seattle, WA",2023-01-24 17:55:23,"@waynekramer @hahnscratch @DrGaborMate 1/3
The problem is capitalism. When people use drugs and become homeless… th… https://t.co/qNkvb2QSrU",0,Twitter for iPhone,
Blujay,1586060822270222336,"Seattle, Washington",2023-01-24 17:54:32,@Scott_Jurk_FMS @LakotaMan1 CRT is ONLY taught in post college level courses for those who choose. Teachers have sp… https://t.co/SckzmLbrNj,0,Twitter Web App,
